DEBUG: General     , 1772727682075> LoggerManager.init                  > Initializing...
LOG  : General     , 1772727682140> cachedir set to "/Users/zhangyuhao/Zomboid"
LOG  : General     , 1772727682146> 06-03-2026 00:21:22
LOG  : General     , 1772727682146> cachedir is "/Users/zhangyuhao/Zomboid"
LOG  : General     , 1772727682146> LogFileDir is "/Users/zhangyuhao/Zomboid/Logs"
LOG  : General     , 1772727682146> ===== System specs =====
LOG  : General     , 1772727682147> OS: Mac OS X, version: 26.3, arch: x86_64
LOG  : General     , 1772727682149> Available processors (cores): 10
LOG  : General     , 1772727682152> Memory free: 208.0 MB
LOG  : General     , 1772727682153> Memory max: 3072.0 MB
LOG  : General     , 1772727682153> Memory  total available to JVM: 256.0 MB
LOG  : General     , 1772727682155> /, Total: 228.27386 GB, Free: 71.23361 GB
LOG  : General     , 1772727682156> ========================
LOG  : General     , 1772727682156> -- listing properties --
LOG  : General     , 1772727682157> socksProxyHost=127.0.0.1
LOG  : General     , 1772727682157> http.proxyHost=127.0.0.1
LOG  : General     , 1772727682157> java.specification.version=17
LOG  : General     , 1772727682157> sun.jnu.encoding=UTF-8
LOG  : General     , 1772727682157> java.class.path=/Users/zhangyuhao/Library/Application...
LOG  : General     , 1772727682157> DocumentsDirectory=/Users/zhangyuhao/Documents
LOG  : General     , 1772727682157> CachesDirectory=/Users/zhangyuhao/Library/Caches
LOG  : General     , 1772727682157> https.proxyPort=6789
LOG  : General     , 1772727682158> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1772727682158> sun.arch.data.model=64
LOG  : General     , 1772727682158> java.vendor.url=http://www.azul.com/
LOG  : General     , 1772727682158> user.timezone=Asia/Shanghai
LOG  : General     , 1772727682158> zomboid.steam=1
LOG  : General     , 1772727682159> java.vm.specification.version=17
LOG  : General     , 1772727682160> os.name=Mac OS X
LOG  : General     , 1772727682160> sun.java.launcher=SUN_STANDARD
LOG  : General     , 1772727682160> user.country=CN
LOG  : General     , 1772727682160> sun.boot.library.path=/Users/zhangyuhao/Library/Application...
LOG  : General     , 1772727682160> zomboid.znetlog=1
LOG  : General     , 1772727682160> sun.java.command=zombie.gameStates.MainScreenState -Dj...
LOG  : General     , 1772727682160> http.nonProxyHosts=127.0.0.1|192.168.0.0/16|*.192.168.0....
LOG  : General     , 1772727682161> jdk.debug=release
LOG  : General     , 1772727682161> sun.cpu.endian=little
LOG  : General     , 1772727682162> user.home=/Users/zhangyuhao
LOG  : General     , 1772727682162> user.language=zh
LOG  : General     , 1772727682163> java.specification.vendor=Oracle Corporation
LOG  : General     , 1772727682163> java.version.date=2021-10-19
LOG  : General     , 1772727682163> java.home=/Users/zhangyuhao/Library/Application...
LOG  : General     , 1772727682163> file.separator=/
LOG  : General     , 1772727682163> https.proxyHost=127.0.0.1
LOG  : General     , 1772727682163> line.separator=

LOG  : General     , 1772727682164> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1772727682164> java.specification.name=Java Platform API Specification
LOG  : General     , 1772727682164> java.awt.headless=true
LOG  : General     , 1772727682164> ApplicationSupportDirectory=/Users/zhangyuhao/Library/Application...
LOG  : General     , 1772727682164> user.script=Hans
LOG  : General     , 1772727682164> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1772727682164> ftp.nonProxyHosts=127.0.0.1|192.168.0.0/16|*.192.168.0....
LOG  : General     , 1772727682164> java.runtime.version=17.0.1+12-LTS
LOG  : General     , 1772727682164> user.name=zhangyuhao
LOG  : General     , 1772727682164> path.separator=:
LOG  : General     , 1772727682164> SandboxEnabled=true
LOG  : General     , 1772727682164> os.version=26.3
LOG  : General     , 1772727682164> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1772727682165> file.encoding=UTF-8
LOG  : General     , 1772727682165> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1772727682165> java.vendor.version=Zulu17.30+15-CA
LOG  : General     , 1772727682165> java.vendor.url.bug=http://www.azul.com/support/
LOG  : General     , 1772727682165> java.io.tmpdir=/var/folders/hg/2mc79wc53_70xpdmzd8ky...
LOG  : General     , 1772727682165> java.version=17.0.1
LOG  : General     , 1772727682165> user.dir=/Users/zhangyuhao/Library/Application...
LOG  : General     , 1772727682166> os.arch=x86_64
LOG  : General     , 1772727682166> socksProxyPort=6789
LOG  : General     , 1772727682166> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1772727682166> LibraryDirectory=/Users/zhangyuhao/Library
LOG  : General     , 1772727682166> native.encoding=UTF-8
LOG  : General     , 1772727682166> java.library.path=/Users/zhangyuhao/Library/Application...
LOG  : General     , 1772727682166> java.vm.info=mixed mode, sharing
LOG  : General     , 1772727682166> java.vendor=Azul Systems, Inc.
LOG  : General     , 1772727682166> java.vm.version=17.0.1+12-LTS
LOG  : General     , 1772727682166> sun.io.unicode.encoding=UnicodeBig
LOG  : General     , 1772727682166> socksNonProxyHosts=127.0.0.1|192.168.0.0/16|*.192.168.0....
LOG  : General     , 1772727682166> java.class.version=61.0
